year,ibin,lbound,rank
2008,1,0,0.031
2008,2,10000,0.101
2008,3,20000,0.189
2008,4,30000,0.281
2008,5,40000,0.371
2008,6,50000,0.456
2008,7,60000,0.549
2008,8,75000,0.668
2008,9,100000,0.801
2008,10,150000,0.892
2008,11,200000,0.957
2009,1,0,0.033
2009,2,10000,0.106
2009,3,20000,0.197
2009,4,30000,0.291
2009,5,40000,0.381
2009,6,50000,0.464
2009,7,60000,0.557
2009,8,75000,0.673
2009,9,100000,0.803
2009,10,150000,0.894
2009,11,200000,0.958
2010,1,0,0.035
2010,2,10000,0.112
2010,3,20000,0.206
2010,4,30000,0.302
2010,5,40000,0.393
2010,6,50000,0.477
2010,7,60000,0.568
2010,8,75000,0.682
2010,9,100000,0.809
2010,10,150000,0.898
2010,11,200000,0.959
2011,1,0,0.036
2011,2,10000,0.114
2011,3,20000,0.208
2011,4,30000,0.303
2011,5,40000,0.393
2011,6,50000,0.475
2011,7,60000,0.565
2011,8,75000,0.678
2011,9,100000,0.804
2011,10,150000,0.895
2011,11,200000,0.971
2012,1,0,0.035
2012,2,10000,0.110
2012,3,20000,0.201
2012,4,30000,0.293
2012,5,40000,0.382
2012,6,50000,0.463
2012,7,60000,0.553
2012,8,75000,0.666
2012,9,100000,0.796
2012,10,150000,0.890
2012,11,200000,0.969
2013,1,0,0.033
2013,2,10000,0.107
2013,3,20000,0.196
2013,4,30000,0.287
2013,5,40000,0.374
2013,6,50000,0.454
2013,7,60000,0.543
2013,8,75000,0.655
2013,9,100000,0.787
2013,10,150000,0.884
2013,11,200000,0.967
2014,1,0,0.032
2014,2,10000,0.104
2014,3,20000,0.190
2014,4,30000,0.278
2014,5,40000,0.364
2014,6,50000,0.443
2014,7,60000,0.531
2014,8,75000,0.644
2014,9,100000,0.778
2014,10,150000,0.879
2014,11,200000,0.965
2015,1,0,0.030
2015,2,10000,0.098
2015,3,20000,0.180
2015,4,30000,0.266
2015,5,40000,0.349
2015,6,50000,0.427
2015,7,60000,0.514
2015,8,75000,0.628
2015,9,100000,0.766
2015,10,150000,0.871
2015,11,200000,0.963
2016,1,0,0.029
2016,2,10000,0.095
2016,3,20000,0.173
2016,4,30000,0.256
2016,5,40000,0.337
2016,6,50000,0.414
2016,7,60000,0.500
2016,8,75000,0.614
2016,9,100000,0.754
2016,10,150000,0.863
2016,11,200000,0.960
2017,1,0,0.028
2017,2,10000,0.090
2017,3,20000,0.164
2017,4,30000,0.244
2017,5,40000,0.323
2017,6,50000,0.398
2017,7,60000,0.483
2017,8,75000,0.597
2017,9,100000,0.741
2017,10,150000,0.855
2017,11,200000,0.958
2018,1,0,0.027
2018,2,10000,0.086
2018,3,20000,0.158
2018,4,30000,0.234
2018,5,40000,0.311
2018,6,50000,0.384
2018,7,60000,0.468
2018,8,75000,0.582
2018,9,100000,0.727
2018,10,150000,0.846
2018,11,200000,0.955
2019,1,0,0.025
2019,2,10000,0.080
2019,3,20000,0.145
2019,4,30000,0.216
2019,5,40000,0.289
2019,6,50000,0.360
2019,7,60000,0.442
2019,8,75000,0.557
2019,9,100000,0.707
2019,10,150000,0.832
2019,11,200000,0.949
2020,1,0,0.024
2020,2,10000,0.076
2020,3,20000,0.138
2020,4,30000,0.206
2020,5,40000,0.277
2020,6,50000,0.346
2020,7,60000,0.428
2020,8,75000,0.541
2020,9,100000,0.692
2020,10,150000,0.822
2020,11,200000,0.959
2021,1,0,0.026
2021,2,10000,0.080
2021,3,20000,0.142
2021,4,30000,0.208
2021,5,40000,0.277
2021,6,50000,0.344
2021,7,60000,0.425
2021,8,75000,0.537
2021,9,100000,0.689
2021,10,150000,0.819
2021,11,200000,0.946
2022,1,0,0.024
2022,2,10000,0.075
2022,3,20000,0.130
2022,4,30000,0.192
2022,5,40000,0.257
2022,6,50000,0.321
2022,7,60000,0.399
2022,8,75000,0.509
2022,9,100000,0.662
2022,10,150000,0.798
2022,11,200000,0.940
2023,1,0,0.023
2023,2,10000,0.069
2023,3,20000,0.120
2023,4,30000,0.177
2023,5,40000,0.237
2023,6,50000,0.298
2023,7,60000,0.373
2023,8,75000,0.481
2023,9,100000,0.636
2023,10,150000,0.779
2023,11,200000,0.931
