year,ibin,lbound,rank
2008,1,0,0.031
2008,2,10000,0.105
2008,3,20000,0.196
2008,4,30000,0.291
2008,5,40000,0.384
2008,6,50000,0.472
2008,7,60000,0.569
2008,8,75000,0.692
2008,9,100000,0.829
2008,10,150000,0.924
2008,11,200000,0.975
2009,1,0,0.032
2009,2,10000,0.110
2009,3,20000,0.204
2009,4,30000,0.301
2009,5,40000,0.394
2009,6,50000,0.480
2009,7,60000,0.576
2009,8,75000,0.696
2009,9,100000,0.832
2009,10,150000,0.926
2009,11,200000,0.975
2010,1,0,0.034
2010,2,10000,0.115
2010,3,20000,0.213
2010,4,30000,0.312
2010,5,40000,0.406
2010,6,50000,0.492
2010,7,60000,0.587
2010,8,75000,0.705
2010,9,100000,0.837
2010,10,150000,0.928
2010,11,200000,0.976
2011,1,0,0.035
2011,2,10000,0.118
2011,3,20000,0.215
2011,4,30000,0.313
2011,5,40000,0.406
2011,6,50000,0.491
2011,7,60000,0.584
2011,8,75000,0.701
2011,9,100000,0.832
2011,10,150000,0.925
2011,11,200000,0.975
2012,1,0,0.034
2012,2,10000,0.113
2012,3,20000,0.207
2012,4,30000,0.303
2012,5,40000,0.394
2012,6,50000,0.478
2012,7,60000,0.571
2012,8,75000,0.688
2012,9,100000,0.823
2012,10,150000,0.920
2012,11,200000,0.973
2013,1,0,0.033
2013,2,10000,0.111
2013,3,20000,0.202
2013,4,30000,0.296
2013,5,40000,0.386
2013,6,50000,0.469
2013,7,60000,0.560
2013,8,75000,0.677
2013,9,100000,0.813
2013,10,150000,0.913
2013,11,200000,0.970
2014,1,0,0.032
2014,2,10000,0.107
2014,3,20000,0.196
2014,4,30000,0.287
2014,5,40000,0.376
2014,6,50000,0.457
2014,7,60000,0.548
2014,8,75000,0.665
2014,9,100000,0.804
2014,10,150000,0.908
2014,11,200000,0.969
2015,1,0,0.030
2015,2,10000,0.101
2015,3,20000,0.185
2015,4,30000,0.274
2015,5,40000,0.360
2015,6,50000,0.440
2015,7,60000,0.531
2015,8,75000,0.648
2015,9,100000,0.791
2015,10,150000,0.899
2015,11,200000,0.965
2016,1,0,0.030
2016,2,10000,0.097
2016,3,20000,0.178
2016,4,30000,0.264
2016,5,40000,0.348
2016,6,50000,0.427
2016,7,60000,0.516
2016,8,75000,0.634
2016,9,100000,0.779
2016,10,150000,0.891
2016,11,200000,0.962
2017,1,0,0.028
2017,2,10000,0.093
2017,3,20000,0.169
2017,4,30000,0.251
2017,5,40000,0.333
2017,6,50000,0.410
2017,7,60000,0.498
2017,8,75000,0.616
2017,9,100000,0.765
2017,10,150000,0.883
2017,11,200000,0.959
2018,1,0,0.027
2018,2,10000,0.089
2018,3,20000,0.162
2018,4,30000,0.242
2018,5,40000,0.321
2018,6,50000,0.396
2018,7,60000,0.483
2018,8,75000,0.600
2018,9,100000,0.751
2018,10,150000,0.873
2018,11,200000,0.956
2019,1,0,0.025
2019,2,10000,0.082
2019,3,20000,0.149
2019,4,30000,0.223
2019,5,40000,0.298
2019,6,50000,0.371
2019,7,60000,0.456
2019,8,75000,0.574
2019,9,100000,0.730
2019,10,150000,0.859
2019,11,200000,0.950
2020,1,0,0.024
2020,2,10000,0.078
2020,3,20000,0.142
2020,4,30000,0.213
2020,5,40000,0.285
2020,6,50000,0.356
2020,7,60000,0.441
2020,8,75000,0.557
2020,9,100000,0.714
2020,10,150000,0.847
2020,11,200000,0.946
2021,1,0,0.027
2021,2,10000,0.083
2021,3,20000,0.145
2021,4,30000,0.214
2021,5,40000,0.285
2021,6,50000,0.354
2021,7,60000,0.438
2021,8,75000,0.553
2021,9,100000,0.709
2021,10,150000,0.843
2021,11,200000,0.944
2022,1,0,0.024
2022,2,10000,0.076
2022,3,20000,0.134
2022,4,30000,0.198
2022,5,40000,0.265
2022,6,50000,0.331
2022,7,60000,0.411
2022,8,75000,0.525
2022,9,100000,0.683
2022,10,150000,0.824
2022,11,200000,0.936
2023,1,0,0.023
2023,2,10000,0.071
2023,3,20000,0.124
2023,4,30000,0.182
2023,5,40000,0.244
2023,6,50000,0.307
2023,7,60000,0.384
2023,8,75000,0.495
2023,9,100000,0.656
2023,10,150000,0.803
2023,11,200000,0.928
2024,1,0,0.022
2024,2,10000,0.067
2024,3,20000,0.116
2024,4,30000,0.170
2024,5,40000,0.228
2024,6,50000,0.288
2024,7,60000,0.362
2024,8,75000,0.470
2024,9,100000,0.631
2024,10,150000,0.783
2024,11,200000,0.919
